case_id,activity,activity_grouped,timestamp,sort_key,user_name,case_po_number,case_po_item,changed_field,changed_from,changed_to
1-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-04 13:54:42,100,Martin Weber,1,1,,,
1-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-04 13:54:42,100,Martin Weber,1,2,,,
2-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-06 09:25:05,100,Sandra Mueller,2,1,,,
2-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-06 09:25:05,100,Sandra Mueller,2,2,,,
3-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-09 14:06:15,100,Thomas Becker,3,1,,,
3-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-09 14:06:15,100,Thomas Becker,3,2,,,
4-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-12 13:35:38,100,Maria Fischer,4,1,,,
4-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-12 13:35:38,100,Maria Fischer,4,2,,,
5-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-16 15:27:22,100,Martin Meyer,5,1,,,
5-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-16 15:27:22,100,Martin Meyer,5,2,,,
5-3,Lege Bestellposition an,Lege Bestellposition an,2023-01-16 15:27:22,100,Martin Meyer,5,3,,,
5-4,Lege Bestellposition an,Lege Bestellposition an,2023-01-16 15:27:22,100,Martin Meyer,5,4,,,
6-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-17 12:27:57,100,Michael Hoffmann,6,1,,,
6-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-17 12:27:57,100,Michael Hoffmann,6,2,,,
7-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-19 13:48:01,100,Maria Wagner,7,1,,,
7-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-19 13:48:01,100,Maria Wagner,7,2,,,
7-3,Lege Bestellposition an,Lege Bestellposition an,2023-01-19 13:48:01,100,Maria Wagner,7,3,,,
7-4,Lege Bestellposition an,Lege Bestellposition an,2023-01-19 13:48:01,100,Maria Wagner,7,4,,,
8-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-23 14:24:49,100,Sandra Becker,8,1,,,
8-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-23 14:24:49,100,Sandra Becker,8,2,,,
8-3,Lege Bestellposition an,Lege Bestellposition an,2023-01-23 14:24:49,100,Sandra Becker,8,3,,,
8-4,Lege Bestellposition an,Lege Bestellposition an,2023-01-23 14:24:49,100,Sandra Becker,8,4,,,
9-1,Lege Bestellposition an,Lege Bestellposition an,2023-01-24 09:22:21,100,Andreas Weber,9,1,,,
9-2,Lege Bestellposition an,Lege Bestellposition an,2023-01-24 09:22:21,100,Andreas Weber,9,2,,,
9-3,Lege Bestellposition an,Lege Bestellposition an,2023-01-24 09:22:21,100,Andreas Weber,9,3,,,
9-4,Lege Bestellposition an,Lege Bestellposition an,2023-01-24 09:22:21,100,Andreas Weber,9,4,,,
