case_id;activity;activity_grouped;activity_to;timestamp;timestamp_to;duration;duration_idle;event_number;activity_duration;duration_at_start;activity_cost;automated;is_rework;is_loop;is_self_loop;is_loop_or_self_loop;user_name;changed_field;changed_from;changed_to
1-1;Start;;Lehne Genehmigung Level 1 ab;2023-01-04T09:41:54.000Z;2023-01-04T09:41:54.000Z;0;0;1;0;0;0;;0;0;0;0;
1-1;Lehne Genehmigung Level 1 ab;Lehne Genehmigung ab;Lege Bestellposition an;2023-01-04T09:41:54.000Z;2023-01-04T12:54:42.000Z;11568000;11568000;2;0;0;0;0;0;0;0;0;Anna Weber;null;null;null
1-1;Lege Bestellposition an;;Fordere Genehmigung Level 3 an;2023-01-04T12:54:42.000Z;2023-01-05T14:09:04.000Z;90862000;90862000;3;0;11568000;0;0;0;0;0;0;Martin Weber;null;null;null
1-1;Fordere Genehmigung Level 3 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-05T14:09:04.000Z;2023-01-05T14:58:35.000Z;2971000;2971000;4;0;102430000;0;0;0;0;0;0;Sandra Schmidt;null;null;null
1-1;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Ändere Bestellposition: Menge;2023-01-05T14:58:35.000Z;2023-01-09T12:54:42.000Z;338167000;338167000;5;0;105401000;0;0;0;0;0;0;Peter Schmidt;null;null;null
1-1;Ändere Bestellposition: Menge;Ändere Bestellposition;End;2023-01-09T12:54:42.000Z;2023-01-09T12:54:42.000Z;0;0;6;0;443568000;0;0;0;0;0;0;Sandra Meyer;Quantity;5;4
1-2;Start;;Lehne Genehmigung Level 1 ab;2023-01-04T09:41:54.000Z;2023-01-04T09:41:54.000Z;0;0;1;0;0;0;;0;0;0;0;
1-2;Lehne Genehmigung Level 1 ab;Lehne Genehmigung ab;Lege Bestellposition an;2023-01-04T09:41:54.000Z;2023-01-04T12:54:42.000Z;11568000;11568000;2;0;0;0;0;0;0;0;0;Anna Weber;null;null;null
1-2;Lege Bestellposition an;;Fordere Genehmigung Level 3 an;2023-01-04T12:54:42.000Z;2023-01-05T14:09:04.000Z;90862000;90862000;3;0;11568000;0;0;0;0;0;0;Martin Weber;null;null;null
1-2;Fordere Genehmigung Level 3 an;Fordere Genehmigung an;Fordere Genehmigung Level 2 an;2023-01-05T14:09:04.000Z;2023-01-05T14:58:35.000Z;2971000;2971000;4;0;102430000;0;0;0;0;0;0;Sandra Schmidt;null;null;null
1-2;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Ändere Bestellposition: Preis;2023-01-05T14:58:35.000Z;2023-01-08T12:54:42.000Z;251767000;251767000;5;0;105401000;0;0;0;0;0;0;Peter Schmidt;null;null;null
1-2;Ändere Bestellposition: Preis;Ändere Bestellposition;End;2023-01-08T12:54:42.000Z;2023-01-08T12:54:42.000Z;0;0;6;0;357168000;0;0;0;0;0;0;Julia Wagner;Price;133.47;725
2-1;Start;;Lege Bestellposition an;2023-01-06T08:25:05.000Z;2023-01-06T08:25:05.000Z;0;0;1;0;0;0;;0;0;0;0;
2-1;Lege Bestellposition an;;Lehne Genehmigung Level 1 ab;2023-01-06T08:25:05.000Z;2023-01-09T10:41:40.000Z;267395000;267395000;2;0;0;0;0;0;0;0;0;Sandra Mueller;null;null;null
2-1;Lehne Genehmigung Level 1 ab;Lehne Genehmigung ab;Fordere Genehmigung Level 2 an;2023-01-09T10:41:40.000Z;2023-01-09T12:33:02.000Z;6682000;6682000;3;0;267395000;0;0;0;0;0;0;Thomas Schneider;null;null;null
2-1;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Erteile Genehmigung Level 3;2023-01-09T12:33:02.000Z;2023-01-09T13:03:03.000Z;1801000;1801000;4;0;274077000;0;0;0;0;0;0;Maria Schmidt;null;null;null
2-1;Erteile Genehmigung Level 3;Erteile Genehmigung;Erfasse Rechnung;2023-01-09T13:03:03.000Z;2023-01-16T13:46:29.000Z;607406000;607406000;5;0;275878000;0;0;0;0;0;0;Julia Schulz;null;null;null
2-1;Erfasse Rechnung;;Gleiche Rechnung aus;2023-01-16T13:46:29.000Z;2023-01-16T13:46:29.000Z;0;0;6;0;883284000;0;0;0;0;0;0;null;null;null;null
2-1;Gleiche Rechnung aus;;End;2023-01-16T13:46:29.000Z;2023-01-16T13:46:29.000Z;0;0;7;0;883284000;0;0;0;0;0;0;null;null;null;null
2-2;Start;;Lege Bestellposition an;2023-01-06T08:25:05.000Z;2023-01-06T08:25:05.000Z;0;0;1;0;0;0;;0;0;0;0;
2-2;Lege Bestellposition an;;Lehne Genehmigung Level 1 ab;2023-01-06T08:25:05.000Z;2023-01-09T10:41:40.000Z;267395000;267395000;2;0;0;0;0;0;0;0;0;Sandra Mueller;null;null;null
2-2;Lehne Genehmigung Level 1 ab;Lehne Genehmigung ab;Fordere Genehmigung Level 2 an;2023-01-09T10:41:40.000Z;2023-01-09T12:33:02.000Z;6682000;6682000;3;0;267395000;0;0;0;0;0;0;Thomas Schneider;null;null;null
2-2;Fordere Genehmigung Level 2 an;Fordere Genehmigung an;Erteile Genehmigung Level 3;2023-01-09T12:33:02.000Z;2023-01-09T13:03:03.000Z;1801000;1801000;4;0;274077000;0;0;0;0;0;0;Maria Schmidt;null;null;null
2-2;Erteile Genehmigung Level 3;Erteile Genehmigung;Erfasse Rechnung;2023-01-09T13:03:03.000Z;2023-01-16T13:46:29.000Z;607406000;607406000;5;0;275878000;0;0;0;0;0;0;Julia Schulz;null;null;null
2-2;Erfasse Rechnung;;Gleiche Rechnung aus;2023-01-16T13:46:29.000Z;2023-01-16T13:46:29.000Z;0;0;6;0;883284000;0;0;0;0;0;0;null;null;null;null
2-2;Gleiche Rechnung aus;;End;2023-01-16T13:46:29.000Z;2023-01-16T13:46:29.000Z;0;0;7;0;883284000;0;0;0;0;0;0;null;null;null;null
3-1;Start;;Lege Bestellposition an;2023-01-09T13:06:15.000Z;2023-01-09T13:06:15.000Z;0;0;1;0;0;0;;0;0;0;0;
3-1;Lege Bestellposition an;;Ändere Bestellposition: Material;2023-01-09T13:06:15.000Z;2023-01-10T13:06:15.000Z;86400000;86400000;2;0;0;0;0;0;0;0;0;Thomas Becker;null;null;null
3-1;Ändere Bestellposition: Material;Ändere Bestellposition;Erteile Genehmigung Level 1;2023-01-10T13:06:15.000Z;2023-01-10T14:10:28.000Z;3853000;3853000;3;0;86400000;0;0;0;0;0;0;Maria Hoffmann;Material;95;1
3-1;Erteile Genehmigung Level 1;Erteile Genehmigung;Lehne Wareneingang ab;2023-01-10T14:10:28.000Z;2023-01-11T14:04:34.000Z;86046000;86046000;4;0;90253000;0;0;0;0;0;0;Maria Schmidt;null;null;null
